name	description	long_description	price	normal_price	address	zipcode	city	access	time	duration	requirements	img_url
Vol en parapente biplace	Volez comme un oiseau à Champoussin	Notre prestaire se trouve à Champoussin, au cœur du Val d'Illiez. Fort de ces 25 ans d'expérience, il vous amènera au septième ciel durant 30 min de vol au dessus ...	119	130	Route de Fayoz 1	1873	Val d'Illiez	Route Train Bus	Matin Après-midi	0.5	Bonnes chaussures fermées. Pantalon	http://img0.gtsstatic.com/wallpapers/a76987362eaae80fb8f827cbd713a486_large.jpeg
Chateau de Chillon	Très beau Château (forteresse moyenâgeuse) au bord du Lac Léman à Veytaux	Très beau Château (forteresse moyenâgeuse) au bord du Lac Léman à Veytaux. Il est construit sur une abrupt rocheux et ses murs plongent dans le lac. Le Château est très bien conservé. En hiver, avant Noël, de très belles fêtes médiévales s'y déroulent et en été, il est très agréable de s'y promener	12	15	Avenue de Chillon 21	1820	Montreux	Route Train Bus	Matin Après-midi	2		http://farm1.staticflickr.com/29/44974254_1ecf4565a3_z.jpg
Grottes de Vallorbe	Visitez les superbes grottes à Vallorbe	Découverte en 1893, mais ouvertes au public en 1974, les Grottes de Vallorbe, dans le Jura vaudois, sont réellement très belles et méritent vraiment d'être vues.  Le parcours d'environ 3kms, nous fait découvrir un nombre impressionnant de stalagmites, stalactites, des pluies de fistuleuses translucides, des colonnes, sans oublier de nombreuses "vasques" d'eau et pour nous émerveiller l'Orbe qui jaillit des rochers. 	12	15	Vallorbe	1337	Vallorbe	Route Bus	Matin Après-midi	2	Bonnes chaussures fermées. Pantalon	https://c1.staticflickr.com/5/4082/4826539025_bf6c95df77_z.jpg
Olympic Museum Lausanne	Dans le coeur de la capitale olympique	The Olympic Museum first opened to the public on 23 June 1993, attracting almost 200,000 visitors each year until it was closed for refurbishment on 31 January 2012.  In total, more than 3.5 million visitors of all ages and all walks of life have come to this museum, set in stunning grounds on the banks of Lake Geneva, to experience the magic of the Olympic Games and the Olympic Movement.	15	18	1, quai d'Ouchy	1006	Lausanne	Route Bus	Matin Après-midi	4		http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Musee_olympique.jpg/280px-Musee_olympique.jpg
Musee de l'Elysee	Veney decouvrire le photographie les plus entousiasmantes	Reconnu à l'échelle internationale, le Musée de l'Elysée est l'un des plus importants musées entièrement consacrés à la photographie. Depuis sa création en 1985, il s'interroge sur la photographie et la fait connaître grâce à des expositions innovantes, des publications de référence et des événements ouverts à un large public.	6	8	18, avenue de l'Elysée	1004	Lausanne	Route Bus Train	Matin Après-midi	1.5		http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Mus%C3%A9e_de_l%27Elys%C3%A9e_4.jpg/280px-Mus%C3%A9e_de_l%27Elys%C3%A9e_4.jpg
Mine de Sel	Les meilleurs mines de sel au monde	Sortie en famille avec enfants de 11 et 5 ans. Franchement top je recommande! On apprend des choses, le petit train a emballé les enfants. Les enfants peuvent s exercer durant la visite et ils ont adoré. Pour moi c était aussi très sympa. La visite dure 2 heures, et le prix le vaut lien. Je recommande!	15	20	Route des mines de sel	1880	Bex	Route Bus Train	Matin Après-midi	2	Bonnes chaussures fermées. Pantalon	http://images.gadmin.st.s3.amazonaws.com/n51326/images/detail/mine_sel-1.jpg
Lavey-Les-Bains Long	Un bel environnement pour se détendre.	Les bains sont chauds, propres. Les chambre spacieuses. Le personnel est très sympatique.	30	34	Route des Bains 48	1892	Lavey-Les-Bains	Route Bus Train	Matin Après-midi Soir	4		https://c1.staticflickr.com/3/2085/2535371945_2d55d06eb9.jpg
Lavey-Les-Bains Court	Un bel environnement pour se détendre.	Les bains sont chauds, propres. Les chambre spacieuses. Le personnel est très sympatique.	23	27	Route des Bains 48	1892	Lavey-Les-Bains	Route Bus Train	Matin Après-midi Soir	3		https://c1.staticflickr.com/3/2085/2535371945_2d55d06eb9.jpg
Casino de Montreux - Decouverte	Un casino classique	Le cadre est superbe, surtout après les derniers aménagements terrasse. Bar avec fauteuil très confortables, cuisine variées en fonctions des restaurants proposés. Le personnel est très agréable	30	35	Rue du Théâtre 9 	1820	Montreux	Route Bus Train	Soir	5	Smoking	http://www.metallized.it/public/articoli2/montreux1970.jpg
Parapente biplace	Vol biplan en pays d'enhaut	Vol tandem en parapente! Un bon cadeau à offrir? Quelle belle idée! Vous survolerez le Pays d'Enhaut en décollant du sommet de la Videmanette. Après un vol d'une quinzaine de minutes nous atterrirons à Rougemont au bord de la Sarine. Et pour ceux qui veulent apprendre à voler «de leurs propres ailes», l'école de vol libre de Château d'Oex vous propose des cours jusqu'à l'obtention du brevet. Ou bien de revenir au plaisir du vol en biplace	150	170	La Videmanette	1659	Rougemont	Route	Matin Après-midi	1.5	Bonnes chaussures fermées. Pantalon	http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Parapente_-_Les_Saisies_02.JPG/220px-Parapente_-_Les_Saisies_02.JPG
